Método,Modo,Raiz Final,Iterações,Erro Final
Bisseção,Float64,0.6931471805599454,51,1.1102230246251565e-16
Bisseção,Float32,0.6931471824645996,23,0.0
Bisseção,Trunc,0.6931,15,4.7180559945236844e-05
Falsa Posição,Float64,0.6931471805599453,59,0.0
Falsa Posição,Float32,0.6931471824645996,28,0.0
Falsa Posição,Trunc,0.6929,100,0.00024718055994532584
