Método,Modo,Raiz Final,Iterações,Erro Final
Bisseção,Float64,0.6931471805599454,51,1.110223e-16
Bisseção,Float32,0.6931472,23,0.000000e+00
Bisseção,Trunc,0.6931,15,4.718056e-05
Falsa Posição,Float64,0.6931471805599453,58,0.000000e+00
Falsa Posição,Float32,0.6931471824645996,27,0.000000e+00
Falsa Posição,Trunc,0.6929,100,2.471806e-04
