Método,Ângulo (rad),Iterações,Tempo (s)
Newton-Raphson trunc,1.1636,2,6.399990525096655e-06
Newton-Raphson float64,1.493005677895116,7,9.500014130026102e-06
Newton-Raphson float32,1.493005633354187,7,1.6300007700920105e-05
Secante float64,1.4930056779689602,11,1.8099963199347258e-05
Secante float32,1.493005633354187,11,3.880000440403819e-05
Secante trunc,1.493,11,4.959997022524476e-05
Bisseção trunc,1.4929,13,5.1799986977130175e-05
Bisseção float64,1.4930007308217743,18,2.3800006601959467e-05
Bisseção float32,1.4930009841918945,18,5.259999306872487e-05
