Método,Ângulo (rad),Iterações,Tempo (s)
Newton-Raphson trunc,1.1636,2,1.5700003132224083e-05
Newton-Raphson float64,1.493005677895116,7,1.0400006431154907e-05
Newton-Raphson float32,1.493005633354187,7,2.3500004317611456e-05
Secante trunc,1.493,10,5.160000000614673e-05
Secante float64,1.4930056779689602,11,1.85999961104244e-05
Secante float32,1.493005633354187,11,4.289999196771532e-05
Bisseção float64,1.4930007308217743,18,2.300000051036477e-05
Bisseção float32,1.4930007308217743,18,1.9500002963468432e-05
Bisseção trunc,1.4930007308217743,18,1.9799990695901215e-05
