Posição,Método,Iterações,Erro Final,Tempo (s)
1,Newton-Raphson,4,3.156932293357784e-08,5.100039e-06
2,Secante,5,3.055833186493828e-08,6.599992e-06
3,Ponto Fixo,16,2.499239255771002e-06,1.349999e-05
